Institution,Department,Position,Address1,Address2,Address3,City,State,Zip,Country
Yale University,Department of Economics,Assistant Professor,28 Hillhouse Avenue,,,New Haven,CT,6511,USA
Aarhus University,Department of Economics and Business Economics,Assistant Professor,Fuglesangs Alle 4,,,Aarhus,,8210,Denmark
